"","X","ticker","date","name","est","sector","industry","industry_group","marcap","invested_capital","total_equity","total_debt","pretax_income","dividends","roic"
"803",1,"MXI","2016-06-30",NA,NA,"Industrials","Truck Manufacturing",NA,111050,162.83,123.34,43.15,5.24,-3.78,0.00896640668181539
"804",1,"MXR","2016-06-30",NA,NA,"Basic Materials","Industrial Metals & Minerals",NA,3040,5.43,5.43,NA,-0.68,0,-0.125230202578269
"805",1,"MYE","2016-06-30",NA,NA,"Basic Materials","Coal",NA,18220,55.94,44.43,12.95,-13.16,-0.91,-0.251519485162674
"806",1,"MYO","2015-12-31",NA,NA,"Technology","Software - Application",NA,1897070,1295.99,863.28,432.71,-42.26,0,-0.0326082762984282
"807",1,"MYQ","2016-06-30",NA,NA,NA,NA,NA,3240,4.49,4.49,NA,-2.04,0,-0.4543429844098
"808",1,"MYR","2016-07-31",NA,NA,NA,NA,NA,959950,1255.04,1107.77,147.27,60.54,-16.43,0.0351462901580826
"809",1,"MYX","2016-06-30",NA,NA,"Healthcare","Drug Manufacturers - Major",NA,1572620,440.75,376.22,77.67,37.36,0,0.0847646057855927
"810",1,"MZM","2015-06-30",NA,NA,"Basic Materials","Industrial Metals & Minerals",NA,13770,8.07,8.07,0.95,-4.01,0,-0.496902106567534
"811",1,"NAM","2016-02-29",NA,NA,"Consumer Defensive","Farm Products",NA,47230,182.1,123.55,60.68,-7.56,0,-0.0415156507413509
"812",1,"NAN","2016-06-30",NA,NA,"Healthcare","Medical Instruments & Supplies",NA,965390,56.66,56.66,1.74,0.12,0,0.00211789622308507
"813",1,"NAV","2015-06-30",NA,NA,"Basic Materials","Industrial Metals & Minerals",NA,180,-0.86,-19.5,18.65,-2.53,0,2.94186046511628
"814",1,"NCC",NA,NA,NA,NA,"Asset Management",NA,45620,41.09,41.09,NA,4.85,-0.82,0.0980773910927233
"815",1,"NCK","2016-06-30",NA,NA,"Consumer Cyclical","Specialty Retail",NA,469800,78.96,57.79,21.16,26.15,-13.77,0.156788247213779
"816",1,"NCL","2015-12-31",NA,NA,NA,NA,NA,11440,13.86,13.49,0.04,-1.16,0,-0.0836940836940837
"817",1,"NCM","2016-06-30",NA,NA,"Basic Materials","Gold",NA,17269490,12390.25,9587.93,2908.7,447.08,-43.09,0.0326054760799822
"818",1,"NCO","2015-06-30",NA,NA,"Basic Materials","Copper",NA,260,3.83,3.83,0,-0.61,0,-0.159268929503916
"819",1,"NCR","2015-06-30",NA,NA,NA,NA,NA,4610,17.25,17.25,NA,-4.74,0,-0.274782608695652
"820",1,"NEA","2016-06-30",NA,NA,NA,NA,NA,211570,18.49,18.49,NA,-7.14,0,-0.386154678204435
"821",1,"NEC","2016-06-30",NA,NA,"Consumer Cyclical","Broadcasting - TV",NA,848820,1454.26,1233.84,220.49,324.76,-114.7,0.144444597252211
"822",1,"NEN","2015-12-31",NA,NA,"Energy","Oil & Gas E&P",NA,13180,18.66,18.66,NA,-2.28,0,-0.122186495176849
"823",1,"NFE","2015-12-31",NA,NA,"Basic Materials","Steel",NA,0,-111.24,-111.24,NA,-184.42,0,1.65785688601223
"824",1,"NGE","2015-12-31",NA,NA,NA,NA,NA,16150,20.19,20.19,NA,-35.77,0,-1.77166914314017
"825",1,"NGY","2015-06-30",NA,NA,"Energy","Oil & Gas E&P",NA,17580,36.55,36.83,NA,-26.42,0,-0.722845417236662
"826",1,"NHC","2016-07-31",NA,NA,"Basic Materials","Coal",NA,1325530,1750.41,1750.41,14.86,-53.68,-66.48,-0.0686467741843339
"827",1,"NHH","2016-06-30",NA,NA,NA,NA,NA,36700,29.07,18.06,11.01,0.98,-10.18,-0.316477468180255
"828",1,"NHO","2015-06-30",NA,NA,NA,NA,NA,2830,0.75,0.75,NA,3.01,0,4.01333333333333
"829",1,"NIO","2016-06-30",NA,NA,"Basic Materials","Gold",NA,6220,0.46,0.46,NA,-0.27,0,-0.58695652173913
